Topology,embed_type,space_group,genus,vertices,edges
cda,1b,I4(1)22,7,2,2
cdj,1b,Im-3,15,2,2
cdl,2a,P4(2)/mmc,5,1,3
cdle,1b,P4(2)/mmc,9,3,2
cdm,2b,P4(2)/mmc,7,2,4
cdme,1b,P4(2)/mmc,13,4,3
cdn,2b,P4(2)/mmc,9,2,5
cdp,1b,P4(2)/ncm,13,2,3
cds,2a,P4(2)/mmc,3,1,2
cdt,2b,Pnna,5,1,3
cdz,2b,Pmmm,4,2,4
cdze,1b,Pmmm,7,4,3
cea,4b,Pmma,33,4,12
ced,4,P6/mmm,9,2,2
cee,2,P6/mmm,9,3,2
ceg,1b,P-3m1,9,3,2
ceh,4,P622,9,3,2
cel,2,P6/mmm,21,3,2
cen,4,P6/mmm,10,2,2
cena,1b,P6/mmm,29,3,6
ceo,1b,P6(3)/mcm,19,3,2
cep,1b,P-31m,10,3,2
ceq,1b,P-62m,10,3,2
cer,1b,P6(3)/mcm,19,3,2
ces,4,P-62m,14,3,2
cesa,1b,P-62m,31,4,9
cet,2,P6(3)/mcm,19,3,2
ceu,4,P6(3)/mcm,27,3,2
cev,4,P6(3)/mmc,25,3,2
cew,4,P6/mmm,28,3,2
cex,4,P6/mmm,29,3,2
cexa,1b,P6/mmm,61,4,10
cez,2,P6/mcc,17,3,2
cfc,1b,P6(3)/mmc,9,2,3
cfe,1b,R-3m,7,3,4
cgc,1b,P4(2)/ncm,53,3,8
cgs,1b,Pnma,33,4,9
cha,1b,R-3m,13,1,4
cla,1b,I-43m,42,4,6
clh,1b,P4(2)/mmc,5,2,3
cmc,1b,P4/mmm,41,3,9
cmd,1b,P4/mmm,57,4,12
cml,4,Cmc2(1),7,2,3
coi,4,I4(1),17,4,8
cor,1b,R-3c,15,2,2
crb,1b,I4/mmm,5,1,2
crba,1b,I4/mmm,17,2,5
crbe,1a,I4/mmm,17,2,3
crr,2,P-43m,13,1,2
crs,1a,Fd-3m,9,1,1
crsd,3b,Fd-3m,9,2,2
