Topology,embed_type,space_group,genus,vertices,edges
ptsg,1b,P4(2)/mmc,11,2,3
ptt,1b,Cccm,9,3,2
ptta,1b,Cccm,25,4,10
pyc,1a,Fd-3m,37,1,2
pyf,1b,I-43m,18,4,3
pyo,1b,P4(1)32,13,3,2
pyr,1b,Pa-3,13,2,1
pyre,1b,Pa-3,49,1,3
pzh,1b,Im-3m,37,3,3
qdl,2b,P6(2)22,7,1,3
qdle,1b,P6(2)22,13,3,2
qdlea,1b,P6(2)22,31,4,10
qms,4,Pm-3n,37,2,2
qom,1b,P-31c,25,5,5
qtz,1b,P6(2)22,4,1,1
qtza,1b,P6(2)22,13,1,4
qtze,1a,P6(2)22,13,1,3
qtzh,1b,P6(2)22,7,1,3
qza,1b,P6(4)22,7,2,2
qzd,2b,P6(2)22,4,1,2
qzh,1b,P-43m,27,3,5
raa,1b,C2/m,5,2,5
rab,1b,Cccm,9,2,5
rac,2,Pnna,9,1,4
rad,1b,Cmcm,13,3,6
rae,1b,Pbcn,17,2,5
reo,1a,Pm-3m,10,1,1
reoda,1b,Pm-3m,26,3,4
reoe,1a,Pm-3m,25,1,2
reot,1b,Pm-3m,145,3,10
rho,1a,Im-3m,25,1,2
rhoe,1a,Im-3m,97,2,4
rhp,1b,Im-3m,97,3,6
rhr,1b,Im-3m,13,1,1
rkf,4,P6(2)22,13,1,4
rnb,1b,P4(3)22,17,4,5
rnc,1b,P4(3),13,4,7
rob,2b,Cccm,5,1,2
rra,1b,Im-3m,37,3,3
rtl,1b,P4(2)/mnm,7,2,2
rtw,2b,P4/mbm,9,2,3
sab,4,I4cm,13,2,3
sas,1b,I4/mmm,17,2,4
sat,1b,R-3m,25,2,7
sbr,`b,Cmma,9,3,2
sbra,1b,Cmma,21,4,10
scu,1b,P4/mmm,6,2,1
scua,1b,P4/mmm,13,2,5
scuh,5 P4/mmm,P4/mcc,33,2,6
sda,2,I4(1)md,5,1,2
sdt,1a,Im-3m,31,2,3
sea,1a,Cmmm,8,2,2
seb,2b,Pmmm,6,2,4
ses,1,Im-3m,27,2,2
sesa,1a,Im-3m,49,3,5
shb,4,P6/mmm,16,3,2
she,2,Im-3m,15,2,1
shea,1a,Im-3m,25,2,3
sho,2b,Im-3m,24,3,2
shp,4,P6/mmm,9,2,1
shpa,1b,P6/mmm,19,2,5
sie,1b,Cmmm,9,2,5
sit,1b,Imm2,4,2,2
siz,2,I4(1)32,25,2,4
skd,1b,Imma,9,1,4
ske,1b,Imma,9,1,4
sku,1a,Im-3,21,2,3
sky,4,Pm-3n,43,2,2
sln,1b,P6(3)/m,11,3,3
smb,1b,R3m,7,1,2
smc,1b,R32,7,1,2
sme,1a,R-3c,13,1,3
smg,1b,R-3c,13,1,2
smh,1a,P6(1)22,13,1,3
smi,1b,P6(1)22,13,1,2
smk,1a,P6(1)22,13,1,3
sml,1a,P6(2)22,13,1,3
smm,1a,R32,7,1,3
smn,1b,R-3c,13,1,2
smp,1b,I-43m,25,1,2
smq,1b,Pm-3n,49,1,2
sms,1b,R-3m,13,1,3
smt,1b,P6(1),13,1,3
smu,1b,P-62c,13,1,3
smw,1b,P6/mcc,25,1,3
sne,1b,I-42d,9,1,2
snf,1a,Pm-3,25,1,3
sng,1a,Fm-3,25,1,3
snh,1a,Im-3,25,1,3
sni,1b,I4/mcm,9,1,2
snk,1a,I4(1)/amd,9,1,2
snl,1a,I4(1)/amd,17,1,3
snm,1a,P4(1)22,9,1,3
sno,1a,I4(1)/acd,17,1,3
snp,1a,P4(2)/mmc,9,1,3
snr,1b,I432,49,1,4
snv,1b,P432,49,1,4
snw,1b,I4(1)/amd,9,1,2
snx,1b,P6(3)/mmc,13,1,2
sny,1a,P6(3)/mmc,13,1,3
soc,2b,Im-3m,15,2,1
sod,1a,Im-3m,7,1,1
sode,1a,Im-3m,25,1,2
sodh,1b,Pn-3m,25,1,3
soj,1b,Pbcn,17,1,4
sok,1b,Fddd,17,1,5
sol,1b,Pbcn,17,1,4
som,1b,Fddd,17,1,5
son,1b,Fddd,17,1,5
spl,1a,Fd-3m,19,3,2
spn,1c,Fd-3m,13,2,1
spp,4,P6/mmm,19,3,2
sppa,1a,P6/mmm,55,4,10
sqc,4,I4(1)/amd,11,2,1
sqca,1b,I4(1)/amd,25,2,6
sqpa,1b,I4/mmm,12,2,4
sqsa,1b,P6/mmm,46,3,7
sra,1b,Imma,5,1,3
srb,1b,Imma,7,2,4
src,4,P4(2)32,9,2,2
srd,3,P4(2)32,9,2,2
srdl,1b,P4(2)32,19,2,4
srs,1a,I4(1)32,3,1,1
srsae,1a,I4(1)32,19,2,2
ssa,4,P6(3)/mmc,13,2,1
ssaa,1b,P6(3)/mmc,25,2,5
ssb,1b,I4/mmm,9,2,1
ssba,1b,I4/mmm,17,2,5
ssca,1b,I4(1)32,25,2,5
ssd,2b,Pm-3m,19,2,2
ssde,1b,Pm-3m,37,2,4
sse,2b,P4/mmm,9,2,3
ssee,1b,P4/mmm,17,3,4
ssf,2b,P4/mmm,13,2,4
ssfe,1b,P4/mmm,25,4,5
ssm,4,I4(1)/a,25,2,7
sss,2b,P6/mmm,13,3,2
sssa,1b,P6/mmm,43,4,8
sst,2b,Im-3m,25,1,2
sste,1b,Im-3m,49,2,3
sta,1b,P6(3)/mmc,13,2,2
stb,1b,R-3m,7,2,2
stc,1b,R-3m,9,2,3
std,1b,P6(3)/mmc,17,3,2
ste,1b,P6(3)/mmc,17,3,2
stj,1b,I4/mmm,9,2,2
stp,1b,P6/mmm,8,2,1
stpa,1b,P6/mmm,19,2,5
str,1a,Fd-3m,25,2,2
stu,1b,I4/mmm,9,2,2
stx,1b,I4/mmm,9,2,2
sty,4,P6(3)/mmc,13,2,2
sur,1b,Cccm,5,2,2
svna,1b,Pa-3,45,3,5
svnd,1b,Pa-3,21,2,2
sxa,2,Cmma,5,1,3
sxb,2,Cccm,5,1,3
sxc,2,P6(2)22,7,1,2
sxcd,1b,P6(4)22,7,2,3
sxe,1b,Pa-3,49,1,3
sxf,1b,Pa-3,49,1,3
sxg,1b,Pa-3,49,1,3
sxh,1a,Ia-3,49,1,4
sxi,1a,P4(1)32,49,1,4
sxk,1a,I-43d,49,1,4
sxn,1a,Ia-3d,97,1,4
sxp,1a,Ia-3d,97,1,4
sxq,1a,Ia-3d,97,1,4
tap,4,I4/m,17,4,6
tbo,1b,Fm-3m,11,2,1
tdc,1b,P6/mmm,61,3,9
tdd,1b,P6/mmm,85,4,12
tee,4,I4/mmm,14,3,2
tej,4,P4(2)/nnm,19,2,3
ten,4,I23,13,1,3
tfa,1b,I-4m2,3,2,2
tfb,1b,Fm-3m,13,2,2
tfc,2,Cmmm,3,2,3
tfce,1b,Cmmm,6,3,3
tfe,1b,Pm-3m,14,3,2
tfg,1b,Pm-3m,17,2,2
tfh,1b,Im-3,15,2,3
tfi,1b,P4(2)/mmc,5,2,2
tfj,1b,I4/mmm,6,3,2
tfk,1b,P4(2)/mmc,5,2,2
tfl,1b,Fdd2,5,2,3
tfm,1,I4(1)/amd,11,3,2
tfn,1a,P4(2)/mnm,7,2,3
tfo,1b,Fmmm,4,2,3
tfp,1b,P6/mmm,8,3,2
tfq,1b,P6(4)22,7,2,2
tfs,1a,P6/mmm,13,1,3
tfu,1b,R-3c,15,3,3
tfv,1b,P-4n2,5,2,2
tfzd,2b,P6/mmm,5,2,2
the,4,Pm-3m,14,2,1
thh,`b,I4(1)/amd,25,2,5
thj,1b,I2(1)2(1)2(1),5,2,3
thl,1b,P2(1)/c,11,3,5
thpx,3b,I-43d,31,1,2
ths,1b,I4(1)/amd,3,1,2
thse,1a,I4(1)/amd,7,2,2
toc,1b,Pn-3m,15,2,1
toca,1b,Pn-3m,61,2,5
tona,1,Pn-3m,49,3,5
tot,4,P4(2)32,15,3,2
tpd,1b,P6(3)/mmc,17,2,4
tps,1b,P6/mmm,14,3,2
tpsa,1b,P6/mmm,31,4,9
tpta,4,P6/mcc,49,2,6
tpy,1b,P6/mmm,8,3,3
tpz,1b,P6/mmm,14,3,3
tru,1b,Pm-3m,43,5,4
tsa,1b,P6(3)/mmc,9,3,2
tsb,1b,P6(3)22,9,3,2
tsd,1b,Pmmm,6,4,3
tse,1b,P6(3)/mmc,17,4,3
tsf,1b,Pmmm,8,4,3
tsg,1b,P-6m2,5,3,2
tsh,1b,R32,5,3,2
tsi,1a,I4(1)/amd,7,1,2
tsj,4,P-6m2,5,2,2
tsq,1b,I4/mmm,11,3,2
tsqa,1b,I4/mmm,29,4,9
tsx,4,I-42m,4,2,2
tsy,1b,Cmmm,8,3,4
tta,1b,Pm-3,14,3,3
ttc,1b,I4/mmm,9,2,3
ttf,1b,I4/mmm,9,2,3
ttg,1b,P-4n2,5,2,3
ttp,1b,P6/mmm,8,2,2
ttu,1b,R-3c,15,2,3
ttv,2b,Pm-3,9,2,2
ttx,2b,P6/mmm,8,2,2
tty,2b,P4/mmm,6,2,2
ttz,1b,R-3m,11,3,3
tub,1b,P6(3)mc,27,5,7
twfa,1a,Im-3m,49,2,5
twfd,1b,Im-3m,18,3,2
twfe,3b,Im-3m,49,1,4
twt,1b,P6(2)22,4,1,2
tzs,1b,I4/mcm,9,1,3
ubo,1,I4(1)/acd,17,2,2
ucp,1b,Pm-3m,25,2,2
uka,1b,I4(1)/acd,17,1,3
ukb,1b,P4(2)/nbc,17,1,3
ukc,1b,I4(1)/acd,17,1,4
ukd,1b,I4(1)/acd,17,1,3
uke,1b,Fddd,9,1,4
ukf,1b,P6(2)22,13,1,4
ukg,1b,P4(2)/n,9,1,3
ukh,1b,P6(2)22,13,1,4
uki,1b,I-42d,9,1,3
ukk,1b,I-42d,9,1,3
ukm,1b,Fddd,9,1,4
ukn,1b,R-3m,13,1,4
uko,1b,Ia-3,25,1,3
ukp,1b,I4(1)32,25,1,3
ukr,1b,Pm-3n,49,1,3
uks,1b,Pn-3m,25,1,2
ukt,1b,P4/nnc,17,1,3
ukv,1b,R-3c,13,1,3
ukw,1b,Ia-3d,49,1,3
ukx,1b,Ia-3d,49,1,3
ula,1b,Ia-3d,49,1,3
ulg,1b,F4(1)32,25,1,3
ulh,1b,F4(1)32,25,1,3
uli,1b,I432,25,1,3
ulj,1b,I-43d,25,1,2
ull,1b,I432,25,1,3
uma,1b,R-3m,13,1,4
umb,1b,P6(2)22,13,1,4
umc,1b,Cccm,9,1,4
umd,1b,P4(2)/mcm,17,1,4
umf,1b,P4(2)22,9,1,4
umg,1b,P6(2)22,13,1,4
umh,1b,P4(2)/nnm,17,1,4
umi,1b,I4(1)/amd,17,1,4
umj,1b,P6(2)22,13,1,4
umk,1b,P6(3)/mcm,25,1,4
uml,1b,R-3c,13,1,4
umm,1b,P6(2)22,13,1,4
umn,1b,R-3c,13,1,4
umo,1b,P6(1)22,13,1,4
umq,1b,I4/mcm,17,1,4
umr,1b,I4(1)/acd,17,1,3
ums,1b,R-3c,13,1,3
umt,4,P6(3)/m,49,6,9
umu,1b,I4(1)/amd,17,1,4
umv,1b,Fddd,9,1,4
umw,1b,P4(1)22,9,1,4
umx,1b,P4(2)/mcm,9,1,3
umy,1b,P6(1)22,13,1,3
umz,1b,P4(2)/nbc,17,1,3
una,1a,P6(1)22,13,1,4
unb,1a,R-3m,7,1,3
unc,1b,P4(1)22,5,1,2
und,1b,I4(1)/acd,9,1,2
une,1b,R-3,7,1,3
unf,1b,P-31c,13,1,3
ung,1b,R-3c,7,1,2
unh,1b,P6(1)22,7,1,2
uni,1b,P6(1)22,7,1,2
unid,1b,P6(1)22,7,2,3
unj,1b,P6(1)22,7,1,2
unl,1b,R-3c,13,1,3
unm,1b,P4(2)2(1)2,9,1,3
unn,1b,R-3c,7,1,2
uno,1b,I4(1)32,13,1,2
unp,1b,R32,7,1,3
unr,1b,R-3c,13,1,3
uns,1b,R-3c,13,1,3
unu,1b,R-3c,13,1,3
unv,1b,I2(1)3,13,1,3
unw,1a,I432,13,1,2
unx,1a,F4(1)32,13,1,2
uoa,1b,I4(1)/acd,17,1,3
uob,1b,I4(1)22,9,1,4
uoc,1b,I4(1)22,5,1,2
uod,1b,Fddd,9,1,4
uoe,1b,I4(1)/acd,17,1,4
uof,1b,P6(2)22,13,1,4
uog,1b,P6(2)22,7,1,2
uoh,1b,R-3c,13,1,3
uoi,1b,I4(1)/acd,17,1,3
uoj,1b,P-4n2,9,1,3
uol,1b,P6(1)22,13,1,3
uom,1a,P6(2)22,7,1,3
uon,1b,P6(2)22,7,1,2
uop,1b,P6(2)22,13,1,4
uoq,1b,P6(2)22,13,1,4
uos,1b,I4(1)/amd,17,1,4
uot,1b,I-42m,9,1,3
uou,1b,Ccca,9,1,4
uov,1b,P-4c2,9,1,3
uow,1b,I4(1)/acd,17,1,3
uox,1b,I4(1)/acd,17,1,3
uoy,1b,I4(1)22,9,1,4
uoz,1b,I4(1)/amd,9,1,3
upa,1b,P4(2)2(1)2,9,1,3
upb,1b,I422,9,1,3
upd,1b,I4(1)/acd,17,1,3
urf,2b,Im-3m,20,3,2
urg,3b,Pm-3n,25,3,2
urga,1b,Pm-3n,81,4,6
urh,1a,P-43n,17,3,2
urha,1b,P-43n,53,4,6
uri,1a,Pm-3,18,3,2
urj,2b,P4(2)/mmc,11,3,2
urja,1b,P4(2)/mmc,29,4,9
urk,1a,Pm-3m,12,3,2
url,1a,Im-3m,27,3,2
urn,4,Pm-3m,34,3,2
urp,4,Im-3m,42,3,2
urr,1,Pm-3m,23,3,2
urt,4,I4/mmm,12,3,2
urz,1,I4/mcm,13,3,2
usf,2b,R-3c,7,1,2
utae,1b,Fd-3m,37,2,2
utb,1a,I432,7,1,2
utc,1b,I4(1)32,13,1,3
utg,1b,I4(1)22,5,1,3
utj,1b,P4(2)/nbc,9,1,3
utk,1b,P4(1)22,5,1,3
utm,1b,I4(1)/acd,9,1,3
utn,1b,I4(1)/acd,9,1,3
uto,1b,I4(1)/acd,9,1,3
utp,1b,Pnna,5,1,3
utq,1b,Fddd,5,1,3
vab,2b,Ia-3d,13,1,2
vba,1b,Fddd,9,1,4
vbb,1b,Fddd,9,1,4
vbl,1b,Fddd,17,1,5
vbm,1b,Cccm,17,1,5
vbn,1b,Pbcn,17,1,4
vbo,1b,C222(1),9,1,4
vbp,1b,Ibca,17,1,5
vbr,1b,Cmca,17,1,5
vbt,1b,Pccn,17,1,4
vbu,1b,Pccn,17,1,4
vbv,1b,Ccca,17,1,5
vbw,1b,Cmca,17,1,5
vbx,1b,Cmcm,17,1,5
vby,1b,Cccm,9,1,4
vcc,1b,Fddd,17,1,5
vcf,1b,Fddd,17,1,5
vcz,1b,Pbcn,17,1,4
vda,1b,Fddd,17,1,5
vfi,1b,P6(3)/mcm,37,2,6
viv,1a,Im-3m,50,5,4
vmd,1b,C2/c,9,1,4
vme,1b,P2(1)/c,9,1,4
vmf,1b,C2/m,9,1,5
vmg,1b,C2/c,9,1,5
vmh,1b,A2/n,9,1,5
vmi,1b,I2/a,9,1,5
vmj,1b,I2/a,9,1,4
vmk,1b,I2/a,9,1,5
vms,1b,I2/a,13,1,6
vmv,1b,P2(1)/n,13,1,5
vng,1b,C2/m,9,1,5
vtx,1a,I4(1)/amd,11,2,2
vvi,2b,Im-3m,54,5,4
wbl,1b,I4(1)22,9,2,2
wgw,1b,P4(2)/ncm,17,1,3
wgx,1b,I4/m,17,1,4
wgy,1a,I4/mmm,17,1,4
wgz,1a,I422,17,1,5
wha,1b,P-42(1)c,17,1,3
whb,2a,P4(2)/nmc,17,1,4
whc,1b,P-4c2,17,1,4
whd,1b,I-42m,17,1,4
whe,1a,P4/mcc,33,1,5
whf,1b,P4/nnc,33,1,4
whg,1b,P4/nnc,33,1,4
whh,1a,P4/nnc,33,1,5
whi,1b,P4/ncc,33,1,4
whj,1b,P4/ncc,33,1,4
whk,1b,P4/ncc,33,1,4
whl,1b,P4(2)/nbc,33,1,4
whm,1b,P4(2)/nbc,33,1,4
whn,1a,P4(2)/nbc,33,1,5
who,1a,P4(2)/nbc,33,1,5
whp,1b,P4(2)/ncm,33,1,4
whq,1a,I4/mcm,33,1,5
whr,1b,I-4c2,17,1,4
whs,1a,P4(1)22,17,1,5
wht,1b,P4(1)2(1)2,17,1,4
whv,1b,I4(1)/a,17,1,4
whw,1a,I4(1)/amd,17,1,4
whx,1b,I4(1)/a,17,1,4
why,1b,I4(1)/a,17,1,4
whz,1b,I4(1)/a,17,1,4
wia,2a,I4(1)/amd,17,1,4
wib,1b,I4(1)/a,17,1,4
wid,1b,I4(1)/a,17,1,4
wie,1b,I4(1)/a,17,1,4
wig,1b,I-42d,17,1,4
wii,1a,I4(1)/amd,33,1,5
wij,1b,I4(1)/acd,33,1,4
wil,1b,I4(1)/acd,33,1,4
wim,1b,I4(1)/acd,33,1,4
win,1b,I4(1)/acd,33,1,4
wio,1b,I4(1)/acd,33,1,4
wip,1a,I4(1)/acd,33,1,5
wiq,1a,I4(1)/acd,33,1,5
wir,1a,I4(1)/acd,33,1,5
wis,1a,I4(1)/acd,33,1,5
wiu,1b,I4(1)/a,17,1,4
wiv,1b,I-42d,17,1,4
wiw,1b,R-3c,7,1,3
wix,1b,P6(1)22,7,1,3
wiy,1b,P6(1)22,7,1,3
wiz,1b,P6(2)22,7,1,3
wja,1b,P6(3)/m,25,1,4
wjb,1a,P6(3)/mcm,49,1,5
wjd,1b,P-62c,25,1,4
wje,1b,P6(2)22,13,1,4
wjf,1b,P6(2)22,13,1,4
wjg,1b,P6(2)22,13,1,4
wjh,1b,P6(1)22,13,1,4
wji,1b,P6(1)22,13,1,4
wkf,1b,P6(1)22,25,1,4
wkg,1b,P6(1)22,25,1,4
wkh,1b,P6(1)22,25,1,4
wkj,1a,P6(2)22,25,1,6
wkl,1a,P6(1)22,25,1,5
wkn,1a,P6(1)22,25,1,5
wko,1a,P6(1)22,25,1,5
wkp,1a,P6(1)22,25,1,5
wkq,1a,P6(1)22,25,1,5
wkr,1a,P6/mcc,49,1,5
wkw,1a,P6(1),19,1,4
wky,1b,Fddd,9,1,3
wma,1b,P3(2)21,13,1,4
wmb,1b,P3(2)21,13,1,4
wmc,1b,R3c,13,1,3
wmd,1a,P6(1)22,25,1,5
wme,1b,P6(3)22,25,1,4
wmf,1b,R-3,13,1,4
wmg,1b,R-3,13,1,4
wmh,1b,R-3,13,1,4
wmi,1b,R32,13,1,4
wmj,1b,P-31c,25,1,4
wmk,1b,P-31c,25,1,4
wmm,1b,P-3c1,25,1,4
wmn,1b,P-3c1,25,1,4
wmo,1b,P-3c1,25,1,4
wmp,1a,R-3m,25,1,5
wmq,1a,R-3m,25,1,5
wmr,1b,R-3c,25,1,4
wmt,1a,R-3c,25,1,5
wmu,1b,R-3c,25,1,4
wmv,1b,R-3c,25,1,4
wmw,1b,R-3c,25,1,4
wmx,1b,R-3c,25,1,4
wmy,1b,R-3c,25,1,4
wmz,1b,R-3c,25,1,4
wna,1b,R-3c,25,1,4
wnc,1b,R-3c,25,1,4
wnd,1b,R-3c,25,1,4
wne,1a,R-3c,25,1,5
wse,1a,Im-3m,49,1,4
wut,1b,I-4c2,11,2,3
wxs,4,P4/mbm,35,5,5
xaa,1b,Fm-3m,11,2,2
xab,1b,Pn-3m,15,2,2
xac,4,Pn-3m,17,2,2
xad,2b,Im-3m,15,2,2
xaf,1a,Im-3m,18,2,2
xah,4,P4/mmm,6,2,2
xai,4,P6/mmm,8,2,2
xaia,1b,P6/mmm,23,3,6
xaj,4,Pm-3m,21,3,2
xak,1a,I4/mmm,10,2,2
xam,4,Im-3m,24,2,2
xao,1b,I4/mmm,6,2,3
xaq,1b,P-43m,9,3,3
xat,1b,P6(3)/mmc,9,2,2
xav,2b,Pm-3m,26,2,3
xaw,2b,Pm-3m,23,2,2
xaz,2b,Im-3m,30,2,2
xba,2b,Pm-3m,18,3,2
xbaa,1b,Pm-3m,53,4,6
xbb,1a,Pm-3m,21,3,3
xbe,1a,I4/mmm,5,2,3
xbf,1a,Fm-3m,23,2,2
xbg,1a,Pm-3m,26,2,2
xbh,1a,Fm-3m,23,2,2
xbi,1a,Fm-3m,25,2,2
xbl,4,Pm-3n,13,2,2
xbm,1a,Pm-3m,12,2,2
xbo,4,Pm-3m,14,3,2
xbt,4,Pn-3m,15,2,2
xbv,1a,Fm-3m,18,3,2
xby,4,P6(3)/mmc,9,2,2
xbya,1b,P6(3)/mmc,29,3,6
xca,1b,Immm,6,2,4
xcb,1b,P6(3)/mmc,11,2,4
xci,1b,P6/mmm,8,2,3
xda,1b,Immm,6,2,3
xik,1b,Im-3m,31,2,3
xly,4,P6/mmm,16,2,2
xlz,4,P6/mmm,16,2,2
xux,ib,I-4m2,4,2,2
xxv,2,Pm-3m,12,2,2
yac,1b,P6(3)/mmc,41,8,7
yao,1b,P6(3)/mmc,21,5,4
yav,2b,P6/mmm,6,2,2
yava,1b,P6/mmm,17,3,5
yavd,2b,P6/mmm,6,2,2
yavda,1b,P6/mmm,10,3,4
ycq,1b,Pn-3m,37,2,3
ycr,1b,Pn-3m,49,2,4
ycs,1b,Pn-3m,61,3,5
yct,1b,Pn-3m,73,3,6
ylf,2,I4/mmm,13,2,3
yug,1b,C2/m,9,2,6
yyz,4,P6(1)22,13,1,3
zba,1b,I-42d,25,2,6
zbb,1b,C2/m,8,3,6
zbc,1b,C2/m,11,3,7
zbe,1b,C2/c,21,3,9
zbl,1b,Fmmm,12,2,5
zbn,1b,I4(1)/amd,41,2,7
zbo,1b,C2,12,3,9
zbr,2,Imma,17,2,7
zbs,2,P4/mcc,17,2,4
zbt,1b,Cmmm,12,2,6
zbz,1b,P4(1)22,21,2,6
zca,1b,P2(1)/n,15,3,8
zcc,2,I4/mmm,9,2,4
zea,1b,P4(2)/mnm,53,4,8
zeb,1b,Imma,25,3,9
zec,2b,Cmmm,11,2,4
zhc,1b,P4/mmm,49,8,9
zjz,2b,Pm-3m,23,3,3
zlla,1b,I4/mmm,20,3,6
zme,1b,P6(3)/mmc,13,2,3
zmj,1b,P4/mmm,25,4,5
zni,1b,I4(1)/acd,17,1,3
znp,1b,Cmcm,13,4,6
znz,1a,P6(3)/mmc,17,2,3
zrad,1b,P6/mmm,41,5,8
zrade,3b,P6/mmm,161,8,16
zsn,1b,P4(2)/nmc,25,3,5
zul,1b,Imma,15,3,6
zxc,1b,R-3c,9,3,2
zxd,1b,R-3c,9,2,3
zyg,1b,P6(3)/mcm,15,3,2
zyl,1b,Cmc2(1),5,3,4
zzz,2b,P4/n,13,2,3
